Target device: xilinx_u200_xdma_201830_2-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
1181.89,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1202.57,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1223.22,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1243.9,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1264.59,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1285.3,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1305.98,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1326.67,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1347.3,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1367.97,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1388.69,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1409.36,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1430.04,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1450.68,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1471.31,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1492,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1512.68,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1533.38,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1554.05,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1574.73,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1595.42,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1616.12,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1636.83,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1657.53,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
1678.21,1286,12162,1303,12191,15024,851,0,3352,0,0,0,0,37,38,39,36,42,44,0,42,35,41,0,1053,
